,start_hour,end_hour,rebalance_hour,cov,stdev
2997,5,20,21,shrinkage,0.0702203001162307
2082,3,21,18,shrinkage,0.0702360228627862
6,0,1,6,shrinkage,0.0702579137027884
630,1,4,6,shrinkage,0.0702591803197962
3546,7,8,18,shrinkage,0.0702807632371907
80,0,4,8,shrinkage,0.0703005294996085
14,0,1,14,shrinkage,0.0703133017390877
81,0,4,9,shrinkage,0.0703784001491255
1554,2,20,18,shrinkage,0.0703946271468926
1579,2,21,19,shrinkage,0.0704147706484592
84,0,4,12,shrinkage,0.0704194837457257
82,0,4,10,shrinkage,0.0704358565056631
83,0,4,11,shrinkage,0.070468868750785
79,0,4,7,shrinkage,0.0704961945555994
86,0,4,14,shrinkage,0.0705034070261838
87,0,4,15,shrinkage,0.0705068933063271
78,0,4,6,shrinkage,0.0705085785758887
3475,6,22,19,shrinkage,0.070531340252602
2130,3,23,18,shrinkage,0.0705347257561011
2200,4,6,16,shrinkage,0.0705404555664711
1626,2,23,18,shrinkage,0.0705407046036926
629,1,4,5,shrinkage,0.0705567811051281
3499,6,23,19,shrinkage,0.0705623652487935
2058,3,20,18,shrinkage,0.07058961603174
77,0,4,5,shrinkage,0.0705898146688632
1530,2,19,18,shrinkage,0.0705907111188714
2155,3,24,19,shrinkage,0.0705981247590185
1531,2,19,19,shrinkage,0.0706288292551083
2107,3,22,19,shrinkage,0.0706402454823389
85,0,4,13,shrinkage,0.070664138439725
1578,2,21,18,shrinkage,0.0706715366000957
1555,2,20,19,shrinkage,0.0706944743393926
2131,3,23,19,shrinkage,0.0707042335907536
2515,4,19,19,shrinkage,0.0707153566950113
1650,2,24,18,shrinkage,0.0707499700203649
6695,18,19,23,shrinkage,0.0707750782827856
6551,17,19,23,shrinkage,0.0707750782827856
3403,6,19,19,shrinkage,0.0708003487056425
3402,6,19,18,shrinkage,0.0708101906731966
2514,4,19,18,shrinkage,0.070846474117657
3427,6,20,19,shrinkage,0.0708609866103387
633,1,4,9,shrinkage,0.0708859086844614
6550,17,19,22,shrinkage,0.0708980316092933
1627,2,23,19,shrinkage,0.0709003776599643
6694,18,19,22,shrinkage,0.0709322587092482
2656,5,6,16,shrinkage,0.0709516997964225
2994,5,20,18,shrinkage,0.0709533176070712
2106,3,22,18,shrinkage,0.0709632891029336
616,1,3,16,shrinkage,0.0709741920783005
3451,6,21,19,shrinkage,0.0709854991396535
6549,17,19,21,shrinkage,0.0709861339921213
2610,4,23,18,shrinkage,0.0709965851775524
2154,3,24,18,shrinkage,0.0710096896982409
1668,3,4,12,shrinkage,0.0710112267406053
6693,18,19,21,shrinkage,0.0710163461707895
2971,5,19,19,shrinkage,0.0710174748435617
1651,2,24,19,shrinkage,0.0710218195236752
625,1,4,1,shrinkage,0.0710243377320803
1666,3,4,10,shrinkage,0.0710392374973752
2970,5,19,18,shrinkage,0.0710493928770009
1665,3,4,9,shrinkage,0.0710527314275463
3042,5,22,18,shrinkage,0.0710544359044832
3861,7,21,21,shrinkage,0.0710625880347727
6548,17,19,20,shrinkage,0.0710656991673034
6692,18,19,20,shrinkage,0.0710761757206211
3498,6,23,18,shrinkage,0.0710792679145512
3067,5,23,19,shrinkage,0.0710909213191543
2634,4,24,18,shrinkage,0.0711068972578719
2562,4,21,18,shrinkage,0.071115593031642
2587,4,22,19,shrinkage,0.0711228333880306
627,1,4,3,shrinkage,0.0711407515552554
3043,5,22,19,shrinkage,0.0711415909419174
3019,5,21,19,shrinkage,0.0711449888609983
3474,6,22,18,shrinkage,0.0711689177441027
2611,4,23,19,shrinkage,0.0711751985137461
3523,6,24,19,shrinkage,0.071178235133006
1664,3,4,8,shrinkage,0.0711783562057563
1670,3,4,14,shrinkage,0.071184352843534
3091,5,24,19,shrinkage,0.0712000142623762
1671,3,4,15,shrinkage,0.0712176612871137
2538,4,20,18,shrinkage,0.0712276679952023
2539,4,20,19,shrinkage,0.071227936101077
2563,4,21,19,shrinkage,0.0712299747292087
1663,3,4,7,shrinkage,0.0712356565391114
3522,6,24,18,shrinkage,0.0712447615655427
1667,3,4,11,shrinkage,0.0712496678066709
628,1,4,4,shrinkage,0.0712553302182432
2635,4,24,19,shrinkage,0.0712596715921767
2995,5,20,19,shrinkage,0.0712864155079489
3426,6,20,18,shrinkage,0.0713175669298315
3066,5,23,18,shrinkage,0.0713382372187751
1669,3,4,13,shrinkage,0.0713507274860272
624,1,4,0,shrinkage,0.071353668899991
1661,3,4,5,shrinkage,0.0713592270041731
76,0,4,4,shrinkage,0.0713694179887298
74,0,4,2,shrinkage,0.0713703288325574
2586,4,22,18,shrinkage,0.0713714810834326
3450,6,21,18,shrinkage,0.0713739064504366
75,0,4,3,shrinkage,0.0713845788730652
3018,5,21,18,shrinkage,0.0713913177604213
608,1,3,8,shrinkage,0.0713979482147174
73,0,4,1,shrinkage,0.0714093242989845
1662,3,4,6,shrinkage,0.0714673743323572
72,0,4,0,shrinkage,0.0714978910302432
3090,5,24,18,shrinkage,0.0715023391187377
1677,3,4,21,shrinkage,0.0715074231090033
3887,7,22,23,shrinkage,0.0715698763376391
1679,3,4,23,shrinkage,0.0715898015120899
1678,3,4,22,shrinkage,0.0715976640011322
3863,7,21,23,shrinkage,0.071633996791199
3885,7,22,21,shrinkage,0.0716342368176616
3911,7,23,23,shrinkage,0.0716377356944611
3909,7,23,21,shrinkage,0.0716443954449333
112,0,5,16,shrinkage,0.0716546342449044
1674,3,4,18,shrinkage,0.0716547422918509
610,1,3,10,shrinkage,0.0716674642031366
3862,7,21,22,shrinkage,0.0716813720294372
607,1,3,7,shrinkage,0.0717109715115042
3908,7,23,20,shrinkage,0.071719123426325
3886,7,22,22,shrinkage,0.0717245591748216
1676,3,4,20,shrinkage,0.071726786618802
605,1,3,5,shrinkage,0.0717271155159838
3910,7,23,22,shrinkage,0.071737886022961
4753,10,14,1,shrinkage,0.0717416913717395
614,1,3,14,shrinkage,0.0717565847417194
64,0,3,16,shrinkage,0.0717726700243282
3934,7,24,22,shrinkage,0.0717770389794819
611,1,3,11,shrinkage,0.0717820531732777
3935,7,24,23,shrinkage,0.0718181044836103
3933,7,24,21,shrinkage,0.0718221535480564
613,1,3,13,shrinkage,0.0718319142588467
664,1,5,16,shrinkage,0.0718404148354251
16,0,1,16,shrinkage,0.0718412771459566
3814,7,19,22,shrinkage,0.0718422469296381
3812,7,19,20,shrinkage,0.0718469743714759
3860,7,21,20,shrinkage,0.0718639810266358
609,1,3,9,shrinkage,0.0718673733095267
3839,7,20,23,shrinkage,0.0718905831932186
3837,7,20,21,shrinkage,0.0719204264041621
612,1,3,12,shrinkage,0.07192597103979
3884,7,22,20,shrinkage,0.071932476490243
1675,3,4,19,shrinkage,0.0719521388084191
606,1,3,6,shrinkage,0.0719553317196687
3813,7,19,21,shrinkage,0.0719655458524106
3932,7,24,20,shrinkage,0.0719859311656326
3838,7,20,22,shrinkage,0.0720452898416808
615,1,3,15,shrinkage,0.0720689133181854
3815,7,19,23,shrinkage,0.0720815910626391
4270,8,22,22,shrinkage,0.0721363530730806
60,0,3,12,shrinkage,0.0723011857067571
62,0,3,14,shrinkage,0.0723295435887779
6691,18,19,19,shrinkage,0.0723308951455741
63,0,3,15,shrinkage,0.072335232637533
6547,17,19,19,shrinkage,0.0723659123181468
604,1,3,4,shrinkage,0.0723739320593428
136,0,6,16,shrinkage,0.0723754558186891
56,0,3,8,shrinkage,0.0723871424197746
57,0,3,9,shrinkage,0.0723880447464197
55,0,3,7,shrinkage,0.0724132628926085
54,0,3,6,shrinkage,0.0724293841192936
3836,7,20,20,shrinkage,0.0724439450804677
600,1,3,0,shrinkage,0.0724679857454639
688,1,6,16,shrinkage,0.0724788746509828
61,0,3,13,shrinkage,0.0724815529267999
4271,8,22,23,shrinkage,0.0724920412519214
58,0,3,10,shrinkage,0.0725046125029582
53,0,3,5,shrinkage,0.0725384416298346
59,0,3,11,shrinkage,0.0725407317351154
601,1,3,1,shrinkage,0.0725536552778885
2652,5,6,12,shrinkage,0.0725817290361748
602,1,3,2,shrinkage,0.0725823851357836
4293,8,23,21,shrinkage,0.07258795897094
2648,5,6,8,shrinkage,0.0725887939185048
2752,5,10,16,shrinkage,0.0725913398767724
4269,8,22,21,shrinkage,0.0725952595953396
3859,7,21,19,shrinkage,0.0726353266758067
4292,8,23,20,shrinkage,0.0726724115101718
2649,5,6,9,shrinkage,0.0726767115072112
4295,8,23,23,shrinkage,0.0726820843276815
4247,8,21,23,shrinkage,0.0727036387058117
6352,16,17,16,shrinkage,0.0727055349905935
4318,8,24,22,shrinkage,0.0727132188564907
2190,4,6,6,shrinkage,0.0727214294359695
2646,5,6,6,shrinkage,0.0727285673232434
2192,4,6,8,shrinkage,0.0727313167728253
6376,16,18,16,shrinkage,0.0727319452185242
4268,8,22,20,shrinkage,0.0727342489294437
4246,8,21,22,shrinkage,0.0727579360782838
4319,8,24,23,shrinkage,0.0727587830356311
4294,8,23,22,shrinkage,0.0727595181744582
2651,5,6,11,shrinkage,0.0727672018153026
2645,5,6,5,shrinkage,0.0727754536793823
2191,4,6,7,shrinkage,0.0727832768714766
6690,18,19,18,shrinkage,0.0728240554723428
6546,17,19,18,shrinkage,0.0728373646863791
2189,4,6,5,shrinkage,0.0728680375804033
2653,5,6,13,shrinkage,0.0728709319634817
4317,8,24,21,shrinkage,0.0729033973968353
2194,4,6,10,shrinkage,0.0729062547318783
4199,8,19,23,shrinkage,0.0729080376014589
4244,8,21,20,shrinkage,0.0729109076527439
4197,8,19,21,shrinkage,0.0729118031843729
2193,4,6,9,shrinkage,0.0729149041642862
49,0,3,1,shrinkage,0.0729211929101278
4316,8,24,20,shrinkage,0.0729247891312034
2654,5,6,14,shrinkage,0.0729311326534203
102,0,5,6,shrinkage,0.0729579419258353
3834,7,20,18,shrinkage,0.0729624234784242
7152,23,24,0,shrinkage,0.0729628673998996
2650,5,6,10,shrinkage,0.0729717274416965
48,0,3,0,shrinkage,0.0729722447934269
51,0,3,3,shrinkage,0.0729794061528804
4196,8,19,20,shrinkage,0.0729817151594357
4198,8,19,22,shrinkage,0.0729828925717727
7153,23,24,1,shrinkage,0.0729848231543759
4245,8,21,21,shrinkage,0.0729902326302648
52,0,3,4,shrinkage,0.0729959522722615
2655,5,6,15,shrinkage,0.0730082534121404
4221,8,20,21,shrinkage,0.0730271953270351
50,0,3,2,shrinkage,0.0730467125863294
7154,23,24,2,shrinkage,0.0730485946389794
2195,4,6,11,shrinkage,0.0730488502936009
107,0,5,11,shrinkage,0.0730535560020449
4220,8,20,20,shrinkage,0.0730548980847829
101,0,5,5,shrinkage,0.0730670992059878
7155,23,24,3,shrinkage,0.0730826717951977
2647,5,6,7,shrinkage,0.0730872499311858
105,0,5,9,shrinkage,0.0731350187044413
3883,7,22,19,shrinkage,0.0731462027041092
104,0,5,8,shrinkage,0.073181745328092
3882,7,22,18,shrinkage,0.0731954859606158
106,0,5,10,shrinkage,0.0732018262251489
3907,7,23,19,shrinkage,0.0732049545777418
3858,7,21,18,shrinkage,0.0732073344845855
2198,4,6,14,shrinkage,0.073210374651086
232,0,10,16,shrinkage,0.0732135576207321
103,0,5,7,shrinkage,0.0732192083133453
2196,4,6,12,shrinkage,0.073243862065942
109,0,5,13,shrinkage,0.0732588294911879
110,0,5,14,shrinkage,0.0732630321689179
6365,16,18,5,shrinkage,0.0732964510455527
6341,16,17,5,shrinkage,0.0732964510455527
1029,1,20,21,shrinkage,0.0732995448796423
2197,4,6,13,shrinkage,0.0733055103854809
6366,16,18,6,shrinkage,0.0733185951778705
3930,7,24,18,shrinkage,0.0733274961663581
7156,23,24,4,shrinkage,0.0733390195722034
1031,1,20,23,shrinkage,0.0733407116754349
3835,7,20,19,shrinkage,0.0733426865304842
111,0,5,15,shrinkage,0.0733442988451701
3810,7,19,18,shrinkage,0.0733465579441618
4223,8,20,23,shrinkage,0.0733553622379802
184,0,8,16,shrinkage,0.0733578604631072
6367,16,18,7,shrinkage,0.0733732113312557
6343,16,17,7,shrinkage,0.0733732113312557
479,0,20,23,shrinkage,0.0733743403188199
4222,8,20,22,shrinkage,0.0733920010309028
654,1,5,6,shrinkage,0.0734015316937293
1028,1,20,20,shrinkage,0.0734040667018237
3811,7,19,19,shrinkage,0.0734181695704101
1658,3,4,2,shrinkage,0.073425617263356
1660,3,4,4,shrinkage,0.0734374218802783
2199,4,6,15,shrinkage,0.0734412923861989
108,0,5,12,shrinkage,0.0734469994353498
1657,3,4,1,shrinkage,0.0734579271781199
1659,3,4,3,shrinkage,0.0734769364615972
653,1,5,5,shrinkage,0.0734872527220362
477,0,20,21,shrinkage,0.0735174820608241
6342,16,17,6,shrinkage,0.0735187599076559
476,0,20,20,shrinkage,0.0735406024161942
208,0,9,16,shrinkage,0.0735635363550579
503,0,21,23,shrinkage,0.0735942296825684
3931,7,24,19,shrinkage,0.0735953623534083
784,1,10,16,shrinkage,0.0736271973098393
526,0,22,22,shrinkage,0.073643113447652
3906,7,23,18,shrinkage,0.0736438185505562
656,1,5,8,shrinkage,0.0736470715849943
663,1,5,15,shrinkage,0.0736699088026687
1079,1,22,23,shrinkage,0.0736861113201962
1078,1,22,22,shrinkage,0.0736909202451199
661,1,5,13,shrinkage,0.0736938261859133
660,1,5,12,shrinkage,0.073715392917651
1077,1,22,21,shrinkage,0.073716560728984
658,1,5,10,shrinkage,0.0737495062904562
657,1,5,9,shrinkage,0.0737666818504745
712,1,7,16,shrinkage,0.0737675564029194
662,1,5,14,shrinkage,0.073773877004542
655,1,5,7,shrinkage,0.0737973634272752
642,1,4,18,shrinkage,0.0738002954781332
502,0,21,22,shrinkage,0.0738084035167472
1607,2,22,23,shrinkage,0.0738167336881318
527,0,22,23,shrinkage,0.0738229952721958
659,1,5,11,shrinkage,0.0738318143002056
525,0,22,21,shrinkage,0.0738339835197559
643,1,4,19,shrinkage,0.0738412285431001
1605,2,22,21,shrinkage,0.0738567790471475
6344,16,17,8,shrinkage,0.0738760830052572
6368,16,18,8,shrinkage,0.0738760830052572
501,0,21,21,shrinkage,0.0739128226205253
1606,2,22,22,shrinkage,0.0739315663901554
256,0,11,16,shrinkage,0.0739388602272325
1101,1,23,21,shrinkage,0.073954647003659
6369,16,18,9,shrinkage,0.073995298329477
1102,1,23,22,shrinkage,0.0740021297715175
500,0,21,20,shrinkage,0.0740042581794485
478,0,20,22,shrinkage,0.0740044842109256
646,1,4,22,shrinkage,0.0740155814240024
4267,8,22,19,shrinkage,0.0740160098949821
550,0,23,22,shrinkage,0.0740161733524792
736,1,8,16,shrinkage,0.0740228324164005
400,0,17,16,shrinkage,0.0740236005305062
551,0,23,23,shrinkage,0.0740236779111968
4291,8,23,19,shrinkage,0.0740411167017753
760,1,9,16,shrinkage,0.0740427899447424
5632,13,14,16,shrinkage,0.0740465573646481
4194,8,19,18,shrinkage,0.0740469030223738
6346,16,17,10,shrinkage,0.0740498296348962
6370,16,18,10,shrinkage,0.0740498296348962
6347,16,17,11,shrinkage,0.0740610621979108
4195,8,19,19,shrinkage,0.0740630904591679
6371,16,18,11,shrinkage,0.0740685552563579
1076,1,22,20,shrinkage,0.0740690558635869
1103,1,23,23,shrinkage,0.074071853109734
4243,8,21,19,shrinkage,0.0740751450271206
4315,8,24,19,shrinkage,0.074076248506242
