,start_hour,end_hour,rebalance_hour,cov,stdev
1056,1,22,0,shrinkage,0.0847788926467362
4858,10,18,10,shrinkage,0.0847792717714675
3511,6,24,7,shrinkage,0.0847826462907191
4212,8,20,12,shrinkage,0.0847833428004971
1878,3,13,6,shrinkage,0.084785225044965
5770,13,20,10,shrinkage,0.0847858688559823
1058,1,22,2,shrinkage,0.0847870153627771
1228,2,7,4,shrinkage,0.0847872798153831
6328,15,24,16,shrinkage,0.0847884368668128
1647,2,24,15,shrinkage,0.0847904001093829
4837,10,17,13,shrinkage,0.0847915224716758
1381,2,13,13,shrinkage,0.0847917881166229
5479,12,19,7,shrinkage,0.0847918245736435
4229,8,21,5,shrinkage,0.0847947488390458
2890,5,16,10,shrinkage,0.0847962312041451
5796,13,21,12,shrinkage,0.0847969197617822
1431,2,15,15,shrinkage,0.0847981429371376
2888,5,16,8,shrinkage,0.0847992606802883
2534,4,20,14,shrinkage,0.0847993494217694
2531,4,20,11,shrinkage,0.0848062924185193
2322,4,11,18,shrinkage,0.0848066982650441
1891,3,13,19,shrinkage,0.0848105508877695
4207,8,20,7,shrinkage,0.0848119156848495
2096,3,22,8,shrinkage,0.0848125016364632
2391,4,14,15,shrinkage,0.0848139498292907
3799,7,19,7,shrinkage,0.0848139729979434
1224,2,7,0,shrinkage,0.0848159962119964
4230,8,21,6,shrinkage,0.0848162273378454
1104,1,24,0,shrinkage,0.0848235425295156
3825,7,20,9,shrinkage,0.0848248840290284
2118,3,23,6,shrinkage,0.0848263900289834
2533,4,20,13,shrinkage,0.0848264135941821
2145,3,24,9,shrinkage,0.0848269455077814
3462,6,22,6,shrinkage,0.0848295439886358
4424,9,14,8,shrinkage,0.0848308944883456
2121,3,23,9,shrinkage,0.0848311675385138
1414,2,14,22,shrinkage,0.0848312329100781
3514,6,24,10,shrinkage,0.0848319443958662
2885,5,16,5,shrinkage,0.0848342225085685
3803,7,19,11,shrinkage,0.0848361592033045
3517,6,24,13,shrinkage,0.0848361719217188
1619,2,23,11,shrinkage,0.0848367728711056
1881,3,13,9,shrinkage,0.0848370945157116
2527,4,20,7,shrinkage,0.0848401418770039
1879,3,13,7,shrinkage,0.0848415303362543
3941,8,9,5,shrinkage,0.0848422460399532
3826,7,20,10,shrinkage,0.0848494631373407
1932,3,15,12,shrinkage,0.0848498110014428
2323,4,11,19,shrinkage,0.0848520317960676
2146,3,24,10,shrinkage,0.0848529283435387
4016,8,12,8,shrinkage,0.0848532437345288
2829,5,13,21,shrinkage,0.0848551687522378
1437,2,15,21,shrinkage,0.0848599071047475
3441,6,21,9,shrinkage,0.0848631008299604
2119,3,23,7,shrinkage,0.084863222732959
3512,6,24,8,shrinkage,0.0848641984446239
2886,5,16,6,shrinkage,0.084864296940059
1641,2,24,9,shrinkage,0.084864875242418
1412,2,14,20,shrinkage,0.0848650363212344
4015,8,12,7,shrinkage,0.0848687462691848
3259,6,13,19,shrinkage,0.0848714426325799
2103,3,22,15,shrinkage,0.0848718031506384
1380,2,13,12,shrinkage,0.0848718528026898
1877,3,13,5,shrinkage,0.0848719397183986
5224,11,20,16,shrinkage,0.0848741704324953
2144,3,24,8,shrinkage,0.0848760623684853
3942,8,9,6,shrinkage,0.0848818583649236
4648,9,23,16,shrinkage,0.0848823658901739
2101,3,22,13,shrinkage,0.0848834042233585
4422,9,14,6,shrinkage,0.0848846690492504
2887,5,16,7,shrinkage,0.0848962916294758
1059,1,22,3,shrinkage,0.0848967208334147
1613,2,23,5,shrinkage,0.0848970606106325
4215,8,20,15,shrinkage,0.0849008343995388
2806,5,12,22,shrinkage,0.0849025203464097
4017,8,12,9,shrinkage,0.0849050437997265
1178,2,5,2,shrinkage,0.0849079053271506
1919,3,14,23,shrinkage,0.0849101304223281
6378,16,18,18,shrinkage,0.0849101497116566
6354,16,17,18,shrinkage,0.0849101497116566
1082,1,23,2,shrinkage,0.0849108447727026
1882,3,13,10,shrinkage,0.0849111394116707
6379,16,18,19,shrinkage,0.0849126075559559
6355,16,17,19,shrinkage,0.0849126075559559
1105,1,24,1,shrinkage,0.0849151370777757
2117,3,23,5,shrinkage,0.0849156597285242
1083,1,23,3,shrinkage,0.084917154209673
2205,4,6,21,shrinkage,0.0849185971613725
3666,7,13,18,shrinkage,0.0849267903631394
4013,8,12,5,shrinkage,0.0849276279587521
1425,2,15,9,shrinkage,0.0849302928049463
4014,8,12,6,shrinkage,0.0849305133870796
2151,3,24,15,shrinkage,0.0849333091531656
1107,1,24,3,shrinkage,0.0849333914583077
5200,11,19,16,shrinkage,0.0849393253961069
1916,3,14,20,shrinkage,0.0849404844133843
1106,1,24,2,shrinkage,0.0849416381197216
2530,4,20,10,shrinkage,0.0849424366722206
4359,9,11,15,shrinkage,0.0849443049974904
4421,9,14,5,shrinkage,0.0849466552259633
2529,4,20,9,shrinkage,0.0849468425901591
2204,4,6,20,shrinkage,0.0849505142528554
3519,6,24,15,shrinkage,0.0849506496630956
1060,1,22,4,shrinkage,0.0849508763928204
5426,12,17,2,shrinkage,0.0849509960159071
3725,7,16,5,shrinkage,0.0849519168524275
1179,2,5,3,shrinkage,0.0849524129428735
1623,2,23,15,shrinkage,0.084952703205538
3726,7,16,6,shrinkage,0.0849568506178849
1931,3,15,11,shrinkage,0.0849568743966765
4427,9,14,11,shrinkage,0.0849600359044512
1645,2,24,13,shrinkage,0.0849600495219082
2891,5,16,11,shrinkage,0.0849609025289015
6520,16,24,16,shrinkage,0.0849624716189664
2207,4,6,23,shrinkage,0.0849632513550045
1180,2,5,4,shrinkage,0.0849721270337436
1620,2,23,12,shrinkage,0.0849753104781199
4426,9,14,10,shrinkage,0.0849780246378288
2805,5,12,21,shrinkage,0.0849803435246995
3806,7,19,14,shrinkage,0.0849815715610887
6280,15,22,16,shrinkage,0.0849817337507281
3056,5,23,8,shrinkage,0.0849824330731729
3944,8,9,8,shrinkage,0.0849869202525446
1800,3,10,0,shrinkage,0.0849889639637972
1439,2,15,23,shrinkage,0.0849893584451572
2334,4,12,6,shrinkage,0.0849907205054729
3667,7,13,19,shrinkage,0.0849924512042979
3945,8,9,9,shrinkage,0.0849954427749104
1438,2,15,22,shrinkage,0.0849958449672316
2532,4,20,12,shrinkage,0.08499613525316
2126,3,23,14,shrinkage,0.0849961771965933
1413,2,14,21,shrinkage,0.0849961844397834
2206,4,6,22,shrinkage,0.0849967704592057
3077,5,24,5,shrinkage,0.0849977894192603
1618,2,23,10,shrinkage,0.0849978606806259
1411,2,14,19,shrinkage,0.0849982610290029
1081,1,23,1,shrinkage,0.0850010253184574
1080,1,23,0,shrinkage,0.0850063290984733
1410,2,14,18,shrinkage,0.0850078208017719
2120,3,23,8,shrinkage,0.0850120412472052
3284,6,14,20,shrinkage,0.0850153950054872
1884,3,13,12,shrinkage,0.085017782816271
3029,5,22,5,shrinkage,0.0850217454090584
2830,5,13,22,shrinkage,0.085023098893056
3321,6,16,9,shrinkage,0.0850237425582115
6540,17,19,12,shrinkage,0.0850246048359883
2149,3,24,13,shrinkage,0.0850253563526056
3515,6,24,11,shrinkage,0.0850266379276618
2215,4,7,7,shrinkage,0.0850275701268501
4423,9,14,7,shrinkage,0.0850295184330421
5584,12,23,16,shrinkage,0.0850303188893543
3054,5,23,6,shrinkage,0.0850311862371861
2333,4,12,5,shrinkage,0.0850320881106213
1436,2,15,20,shrinkage,0.085033311160474
2552,4,21,8,shrinkage,0.0850364740321366
2535,4,20,15,shrinkage,0.0850367002358434
3080,5,24,8,shrinkage,0.0850368981678684
3053,5,23,5,shrinkage,0.0850376773503785
1617,2,23,9,shrinkage,0.0850398894304835
2894,5,16,14,shrinkage,0.0850404013274223
5482,12,19,10,shrinkage,0.0850409045440178
3318,6,16,6,shrinkage,0.0850414667019388
3943,8,9,7,shrinkage,0.0850475147877823
1203,2,6,3,shrinkage,0.0850497715929372
2778,5,11,18,shrinkage,0.0850500976294846
1225,2,7,1,shrinkage,0.0850501810721535
3079,5,24,7,shrinkage,0.0850527615062131
4430,9,14,14,shrinkage,0.0850569947848376
3078,5,24,6,shrinkage,0.0850605578213844
4232,8,21,8,shrinkage,0.085061180810373
2127,3,23,15,shrinkage,0.0850643577643481
2141,3,24,5,shrinkage,0.0850643769363499
2831,5,13,23,shrinkage,0.0850646326073357
2150,3,24,14,shrinkage,0.0850649459108308
3831,7,20,15,shrinkage,0.0850671681633234
1885,3,13,13,shrinkage,0.085069040570659
3081,5,24,9,shrinkage,0.0850694439824481
6683,18,19,11,shrinkage,0.0850709737391064
6539,17,19,11,shrinkage,0.0850746826017097
2124,3,23,12,shrinkage,0.0850752594798184
3055,5,23,7,shrinkage,0.0850769160350658
3031,5,22,7,shrinkage,0.0850804475832637
2387,4,14,11,shrinkage,0.0850811379361281
1918,3,14,22,shrinkage,0.0850823748723146
5647,13,15,7,shrinkage,0.0850829329640888
4020,8,12,12,shrinkage,0.085085157054352
3014,5,21,14,shrinkage,0.0850852071985136
1646,2,24,14,shrinkage,0.0850859492545924
6832,19,20,16,shrinkage,0.0850861332739045
6510,16,24,6,shrinkage,0.085086566267443
4425,9,14,9,shrinkage,0.085087388217053
2802,5,12,18,shrinkage,0.0850935598459378
3727,7,16,7,shrinkage,0.0850948658299463
3320,6,16,8,shrinkage,0.0850962017117892
2551,4,21,7,shrinkage,0.0851008289832665
6685,18,19,13,shrinkage,0.0851010282450987
6541,17,19,13,shrinkage,0.0851010282450987
3464,6,22,8,shrinkage,0.0851045491556948
1202,2,6,2,shrinkage,0.085104695483202
4309,8,24,13,shrinkage,0.0851078606466711
3057,5,23,9,shrinkage,0.0851078674162663
4428,9,14,12,shrinkage,0.085109865497042
2261,4,9,5,shrinkage,0.0851105013870325
5645,13,15,5,shrinkage,0.0851124621232719
7133,22,24,5,shrinkage,0.085112516369701
7173,23,24,21,shrinkage,0.0851132566891359
1886,3,13,14,shrinkage,0.0851142313959773
2337,4,12,9,shrinkage,0.0851143979341984
7134,22,24,6,shrinkage,0.0851170969725007
3850,7,21,10,shrinkage,0.0851203993725881
5428,12,17,4,shrinkage,0.0851204566567574
3729,7,16,9,shrinkage,0.0851216067100897
5652,13,15,12,shrinkage,0.0851226066625379
5976,14,19,0,shrinkage,0.0851232360138469
5788,13,21,4,shrinkage,0.0851240646122894
2214,4,7,6,shrinkage,0.0851251508311873
3630,7,12,6,shrinkage,0.0851267963762544
5653,13,15,13,shrinkage,0.08512734841999
5646,13,15,6,shrinkage,0.0851275384786549
1684,3,5,4,shrinkage,0.0851275648905094
3030,5,22,6,shrinkage,0.085127849385806
5648,13,15,8,shrinkage,0.085131080131494
2262,4,9,6,shrinkage,0.0851318892318576
3319,6,16,7,shrinkage,0.0851326303757705
3285,6,14,21,shrinkage,0.0851326936035103
2213,4,7,5,shrinkage,0.0851332057469543
1177,2,5,1,shrinkage,0.0851356056477806
1933,3,15,13,shrinkage,0.0851371605199023
3847,7,21,7,shrinkage,0.085137329824952
2217,4,7,9,shrinkage,0.0851409958996261
3465,6,22,9,shrinkage,0.0851412518539347
1204,2,6,4,shrinkage,0.0851429187205731
2828,5,13,20,shrinkage,0.0851429540119235
5248,11,21,16,shrinkage,0.0851433233650409
7144,22,24,16,shrinkage,0.0851452476746715
3037,5,22,13,shrinkage,0.0851456099324384
5452,12,18,4,shrinkage,0.0851471620250374
2429,4,16,5,shrinkage,0.0851497710021561
5978,14,19,2,shrinkage,0.0851507531520395
6542,17,19,14,shrinkage,0.0851523188509747
6686,18,19,14,shrinkage,0.0851523188509747
1201,2,6,1,shrinkage,0.0851527201204866
5448,12,18,0,shrinkage,0.0851530581449381
2123,3,23,11,shrinkage,0.0851542007510988
5451,12,18,3,shrinkage,0.0851544155637032
1615,2,23,7,shrinkage,0.0851560940760301
5560,12,22,16,shrinkage,0.0851571374786869
2895,5,16,15,shrinkage,0.0851618631298428
3845,7,21,5,shrinkage,0.0851619512090481
2553,4,21,9,shrinkage,0.0851624924787957
4233,8,21,9,shrinkage,0.085163064174757
1683,3,5,3,shrinkage,0.0851641330580318
3033,5,22,9,shrinkage,0.0851646140250319
5654,13,15,14,shrinkage,0.0851662164364143
4544,9,19,8,shrinkage,0.0851671479754214
4018,8,12,10,shrinkage,0.0851677201871136
5787,13,21,3,shrinkage,0.0851682018674545
4234,8,21,10,shrinkage,0.0851682511906333
3032,5,22,8,shrinkage,0.0851686489633697
5784,13,21,0,shrinkage,0.0851704474248671
3849,7,21,9,shrinkage,0.0851709508065712
5480,12,19,8,shrinkage,0.0851711783830629
2804,5,12,20,shrinkage,0.0851714425425478
3632,7,12,8,shrinkage,0.0851724323111541
2556,4,21,12,shrinkage,0.08517265460504
3085,5,24,13,shrinkage,0.0851731781387795
4429,9,14,13,shrinkage,0.0851736112507433
1084,1,23,4,shrinkage,0.0851737203583752
4231,8,21,7,shrinkage,0.0851752291354927
2807,5,12,23,shrinkage,0.0851758142612431
2125,3,23,13,shrinkage,0.0851763572125951
3631,7,12,7,shrinkage,0.085176943730261
2550,4,21,6,shrinkage,0.0851773206460534
3848,7,21,8,shrinkage,0.0851776223370593
1917,3,14,21,shrinkage,0.0851793154990762
6317,15,24,5,shrinkage,0.0851799429191577
7128,22,24,0,shrinkage,0.0851810846860192
5449,12,18,1,shrinkage,0.0851819147318774
4543,9,19,7,shrinkage,0.0851829657338099
5979,14,19,3,shrinkage,0.0851849483203606
2893,5,16,13,shrinkage,0.0851849605747801
4236,8,21,12,shrinkage,0.0851854483091017
3466,6,22,10,shrinkage,0.0851864343590781
1108,1,24,4,shrinkage,0.0851872583730251
3644,7,12,20,shrinkage,0.0851879257322463
5785,13,21,1,shrinkage,0.0851880640195664
3486,6,23,6,shrinkage,0.0851892627888838
5655,13,15,15,shrinkage,0.0851897814983486
3947,8,9,11,shrinkage,0.0851927162097276
4022,8,12,14,shrinkage,0.085194344203385
1200,2,6,0,shrinkage,0.0851944215141067
7135,22,24,7,shrinkage,0.0851947106802789
5977,14,19,1,shrinkage,0.0851959527335316
4545,9,19,9,shrinkage,0.0851961655388747
6318,15,24,6,shrinkage,0.0851975461664536
5320,11,24,16,shrinkage,0.0852021691922944
3846,7,21,6,shrinkage,0.0852027439052947
3731,7,16,11,shrinkage,0.0852048624892713
2100,3,22,12,shrinkage,0.0852049169152805
4235,8,21,11,shrinkage,0.0852054005483579
3084,5,24,12,shrinkage,0.0852057573628388
5650,13,15,10,shrinkage,0.0852061631422898
4023,8,12,15,shrinkage,0.0852080256252863
2390,4,14,14,shrinkage,0.0852083117176089
3325,6,16,13,shrinkage,0.0852110768136418
5991,14,19,15,shrinkage,0.0852132765960649
5651,13,15,11,shrinkage,0.0852141432342705
1995,3,18,3,shrinkage,0.0852143602751211
3647,7,12,23,shrinkage,0.0852145043377326
3317,6,16,5,shrinkage,0.0852166446970153
2558,4,21,14,shrinkage,0.0852177021090147
4547,9,19,11,shrinkage,0.0852184659670322
7129,22,24,1,shrinkage,0.0852197024444267
3634,7,12,10,shrinkage,0.0852201522913771
2430,4,16,6,shrinkage,0.0852210830488899
3324,6,16,12,shrinkage,0.085221727868252
3322,6,16,10,shrinkage,0.085221912797541
5980,14,19,4,shrinkage,0.0852243211808925
7136,22,24,8,shrinkage,0.0852246798956399
3283,6,14,19,shrinkage,0.0852271754175047
3086,5,24,14,shrinkage,0.0852285651618802
4021,8,12,13,shrinkage,0.0852289838413986
3461,6,22,5,shrinkage,0.0852292160339334
6304,15,23,16,shrinkage,0.0852300859525996
6687,18,19,15,shrinkage,0.0852316740738824
5484,12,19,12,shrinkage,0.0852342215257237
1176,2,5,0,shrinkage,0.0852353067925109
5485,12,19,13,shrinkage,0.0852378564489717
1915,3,14,19,shrinkage,0.0852387236335397
6543,17,19,15,shrinkage,0.0852387975721297
3061,5,23,13,shrinkage,0.0852392337360625
2216,4,7,8,shrinkage,0.0852392535088877
5872,13,24,16,shrinkage,0.0852397363608917
2218,4,7,10,shrinkage,0.0852416784387339
1883,3,13,11,shrinkage,0.0852440625216999
4237,8,21,13,shrinkage,0.0852443116938153
3633,7,12,9,shrinkage,0.0852454655122905
1914,3,14,18,shrinkage,0.0852464521325982
2555,4,21,11,shrinkage,0.0852471209977158
4550,9,19,14,shrinkage,0.0852479901854199
3034,5,22,10,shrinkage,0.0852520663725729
1935,3,15,15,shrinkage,0.0852529307384843
3282,6,14,18,shrinkage,0.0852541727198674
3730,7,16,10,shrinkage,0.0852568929568705
5988,14,19,12,shrinkage,0.0852592831576761
4303,8,24,7,shrinkage,0.0852612583888031
6684,18,19,12,shrinkage,0.0852614299343958
1887,3,13,15,shrinkage,0.0852615398445016
7174,23,24,22,shrinkage,0.0852617107545123
1941,3,15,21,shrinkage,0.0852622506347306
1681,3,5,1,shrinkage,0.0852638362037027
3036,5,22,12,shrinkage,0.0852640089449761
6007,14,20,7,shrinkage,0.0852648363800849
5989,14,19,13,shrinkage,0.0852650759857118
2664,5,7,0,shrinkage,0.0852661504530812
3853,7,21,13,shrinkage,0.0852667491330638
2264,4,9,8,shrinkage,0.0852669867609623
4304,8,24,8,shrinkage,0.0852675721792525
5984,14,19,8,shrinkage,0.0852690483619987
3470,6,22,14,shrinkage,0.0852714185074507
3485,6,23,5,shrinkage,0.0852720432130371
2666,5,7,2,shrinkage,0.085274113940124
3635,7,12,11,shrinkage,0.0852761718737649
2803,5,12,19,shrinkage,0.0852766739313853
4019,8,12,11,shrinkage,0.0852777610444002
6006,14,20,6,shrinkage,0.0852808269797414
3471,6,22,15,shrinkage,0.0852816896904745
4238,8,21,14,shrinkage,0.0852822521584994
2667,5,7,3,shrinkage,0.0852843126501391
1462,2,16,22,shrinkage,0.0852865231349225
2010,3,18,18,shrinkage,0.0852871571328733
5424,12,17,0,shrinkage,0.0852879008082218
3733,7,16,13,shrinkage,0.0852887893623191
5824,13,22,16,shrinkage,0.0852888693540934
1461,2,16,21,shrinkage,0.085291754392003
4888,10,19,16,shrinkage,0.0852921020779523
2892,5,16,12,shrinkage,0.0852929353857505
1940,3,15,20,shrinkage,0.0852931165862975
2339,4,12,11,shrinkage,0.0852944373742058
1942,3,15,22,shrinkage,0.0852949371491336
3645,7,12,21,shrinkage,0.0852956239538355
2432,4,16,8,shrinkage,0.0852986843862671
4548,9,19,12,shrinkage,0.0852990892856315
6320,15,24,8,shrinkage,0.085299715544174
4549,9,19,13,shrinkage,0.0853000953638772
4546,9,19,10,shrinkage,0.0853001558616037
3629,7,12,5,shrinkage,0.0853017699349085
5986,14,19,10,shrinkage,0.0853026543568614
5450,12,18,2,shrinkage,0.0853040265751891
5427,12,17,3,shrinkage,0.0853041315398808
3487,6,23,7,shrinkage,0.085304153521998
2340,4,12,12,shrinkage,0.0853041852987073
5649,13,15,9,shrinkage,0.085304761858982
1970,3,17,2,shrinkage,0.0853061972905892
1994,3,18,2,shrinkage,0.0853061972905892
6509,16,24,5,shrinkage,0.0853066244649685
2665,5,7,1,shrinkage,0.0853071941963242
3491,6,23,11,shrinkage,0.0853093850365392
5987,14,19,11,shrinkage,0.0853124024105213
6512,16,24,8,shrinkage,0.0853138682956296
7175,23,24,23,shrinkage,0.0853160694717627
2434,4,16,10,shrinkage,0.085316087065767
3467,6,22,11,shrinkage,0.0853190042818032
1509,2,18,21,shrinkage,0.0853193570956268
1965,3,16,21,shrinkage,0.0853193705974339
3286,6,14,22,shrinkage,0.0853200523919006
2668,5,7,4,shrinkage,0.0853202714995712
4305,8,24,9,shrinkage,0.0853234261665154
6319,15,24,7,shrinkage,0.0853235007397259
3493,6,23,13,shrinkage,0.085323867360662
3492,6,23,12,shrinkage,0.0853246605318476
4541,9,19,5,shrinkage,0.08532524723254
2220,4,7,12,shrinkage,0.0853263454019965
2559,4,21,15,shrinkage,0.0853263498560982
6592,17,21,16,shrinkage,0.0853275372675136
7138,22,24,10,shrinkage,0.0853288756444797
3035,5,22,11,shrinkage,0.0853308924186627
2865,5,15,9,shrinkage,0.0853312281290559
3692,7,14,20,shrinkage,0.0853329523050394
1971,3,17,3,shrinkage,0.0853335951355563
3693,7,14,21,shrinkage,0.08533430534553
4551,9,19,15,shrinkage,0.0853344090571874
1943,3,15,23,shrinkage,0.0853345226926267
4306,8,24,10,shrinkage,0.0853366183612641
6121,15,16,1,shrinkage,0.0853450611104824
3293,6,15,5,shrinkage,0.0853451818560596
2554,4,21,10,shrinkage,0.0853473633129043
3311,6,15,23,shrinkage,0.0853535534018918
3735,7,16,15,shrinkage,0.0853545044633639
3063,5,23,15,shrinkage,0.0853545626015901
7139,22,24,11,shrinkage,0.0853556602351285
5786,13,21,2,shrinkage,0.0853586626242134
5990,14,19,14,shrinkage,0.0853600480223381
2868,5,15,12,shrinkage,0.0853613410420178
2341,4,12,13,shrinkage,0.0853626805781088
3695,7,14,23,shrinkage,0.0853637397194026
2436,4,16,12,shrinkage,0.0853650182330687
2862,5,15,6,shrinkage,0.0853653144824764
3323,6,16,11,shrinkage,0.0853677648152645
4301,8,24,5,shrinkage,0.0853690966638583
3310,6,15,22,shrinkage,0.0853695863119481
4431,9,14,15,shrinkage,0.0853697965084983
3851,7,21,11,shrinkage,0.0853699580387504
6127,15,16,7,shrinkage,0.0853703250567873
2438,4,16,14,shrinkage,0.0853712101230048
3039,5,22,15,shrinkage,0.0853716742719303
4307,8,24,11,shrinkage,0.0853725774541909
2435,4,16,11,shrinkage,0.0853756613826142
6321,15,24,9,shrinkage,0.0853771483152701
6005,14,20,5,shrinkage,0.0853777437199103
4302,8,24,6,shrinkage,0.0853779600941497
2266,4,9,10,shrinkage,0.0853784313329416
3468,6,22,12,shrinkage,0.0853804173062309
1463,2,16,23,shrinkage,0.0853807902993739
3087,5,24,15,shrinkage,0.08538239288723
1593,2,22,9,shrinkage,0.0853831993022776
3949,8,9,13,shrinkage,0.0853847688491418
3308,6,15,20,shrinkage,0.0853853269919776
1968,3,17,0,shrinkage,0.0853859330790305
1990,3,17,22,shrinkage,0.085387302924648
4542,9,19,6,shrinkage,0.0853881936847805
2431,4,16,7,shrinkage,0.0853882391665394
4685,10,11,5,shrinkage,0.0853888277230351
3489,6,23,9,shrinkage,0.0853888427240563
5848,13,23,16,shrinkage,0.0853891565393978
1460,2,16,20,shrinkage,0.0853899086777461
7137,22,24,9,shrinkage,0.0853923352285437
6294,15,23,6,shrinkage,0.0853929089362198
3732,7,16,12,shrinkage,0.0853967793098507
3327,6,16,15,shrinkage,0.0853972228315748
3060,5,23,12,shrinkage,0.0853972348116929
3494,6,23,14,shrinkage,0.0853985831225925
5481,12,19,9,shrinkage,0.0854007425892909
7131,22,24,3,shrinkage,0.0854034551268543
7142,22,24,14,shrinkage,0.0854072381424639
7130,22,24,2,shrinkage,0.0854100434031074
1591,2,22,7,shrinkage,0.0854144043029669
1434,2,15,18,shrinkage,0.0854158322134459
3946,8,9,10,shrinkage,0.0854161451543286
1972,3,17,4,shrinkage,0.0854162864830228
5272,11,22,16,shrinkage,0.0854181147125311
2863,5,15,7,shrinkage,0.0854185871664515
3469,6,22,13,shrinkage,0.0854196650706652
3719,7,15,23,shrinkage,0.0854212550567163
1969,3,17,1,shrinkage,0.0854212869094989
2335,4,12,7,shrinkage,0.0854226854653481
1590,2,22,6,shrinkage,0.0854249328667325
4239,8,21,15,shrinkage,0.0854249895160458
1487,2,17,23,shrinkage,0.0854270986619394
1511,2,18,23,shrinkage,0.0854270986619394
1510,2,18,22,shrinkage,0.0854278189042962
2867,5,15,11,shrinkage,0.0854294977703552
4308,8,24,12,shrinkage,0.085429649614671
3734,7,16,14,shrinkage,0.0854307880638872
6323,15,24,11,shrinkage,0.0854312605112814
2827,5,13,19,shrinkage,0.0854324262712669
6514,16,24,10,shrinkage,0.0854331532410776
2222,4,7,14,shrinkage,0.0854358202253657
3950,8,9,14,shrinkage,0.0854383741292856
7140,22,24,12,shrinkage,0.0854384685434816
3852,7,21,12,shrinkage,0.085439296138617
1592,2,22,8,shrinkage,0.0854396579074683
7141,22,24,13,shrinkage,0.0854398782908396
7132,22,24,4,shrinkage,0.0854398985192029
1934,3,15,14,shrinkage,0.0854405810677797
6736,18,21,16,shrinkage,0.0854434038801013
5504,12,20,8,shrinkage,0.0854434915470809
2269,4,9,13,shrinkage,0.085444662500386
3646,7,12,22,shrinkage,0.0854456361736255
3083,5,24,11,shrinkage,0.0854475392864384
6322,15,24,10,shrinkage,0.0854475617124238
1484,2,17,20,shrinkage,0.0854486270598239
2219,4,7,11,shrinkage,0.085448891556064
3488,6,23,8,shrinkage,0.0854491549313759
4792,10,15,16,shrinkage,0.0854514839054489
2866,5,15,10,shrinkage,0.085451873997617
3463,6,22,7,shrinkage,0.0854546367537134
6511,16,24,7,shrinkage,0.0854550638139047
2864,5,15,8,shrinkage,0.0854571475560416
2336,4,12,8,shrinkage,0.0854600575245654
3921,7,24,9,shrinkage,0.0854624483846716
4112,8,16,8,shrinkage,0.085462823757941
3490,6,23,10,shrinkage,0.0854630516139766
3951,8,9,15,shrinkage,0.0854635946625793
3854,7,21,14,shrinkage,0.0854675581093085
6040,14,21,16,shrinkage,0.0854688011796676
5502,12,20,6,shrinkage,0.0854720405307332
1485,2,17,21,shrinkage,0.0854724364399706
6273,15,22,9,shrinkage,0.0854725334181938
2343,4,12,15,shrinkage,0.0854731682890914
2433,4,16,9,shrinkage,0.0854736978345006
3082,5,24,10,shrinkage,0.0854773257541392
2622,4,24,6,shrinkage,0.0854787074586645
6324,15,24,12,shrinkage,0.0854807062224571
1992,3,18,0,shrinkage,0.0854817814681842
2439,4,16,15,shrinkage,0.085482554106809
7143,22,24,15,shrinkage,0.0854834687069949
1596,2,22,12,shrinkage,0.0854842433036461
2267,4,9,11,shrinkage,0.0854882334096417
5503,12,20,7,shrinkage,0.0854888205551362
4689,10,11,9,shrinkage,0.0854917117755256
2265,4,9,9,shrinkage,0.0854918647138283
6517,16,24,13,shrinkage,0.0854922789558933
1597,2,22,13,shrinkage,0.0854925428677864
1594,2,22,10,shrinkage,0.0854943912488557
3855,7,21,15,shrinkage,0.0854950502865025
4109,8,16,5,shrinkage,0.0854960054483704
6519,16,24,15,shrinkage,0.0854964968717688
6513,16,24,9,shrinkage,0.085497245433088
2557,4,21,13,shrinkage,0.085497534119528
4311,8,24,15,shrinkage,0.0854978682310173
3636,7,12,12,shrinkage,0.0854998184416726
3691,7,14,19,shrinkage,0.0855009642364257
6327,15,24,15,shrinkage,0.0855026651376451
6325,15,24,13,shrinkage,0.0855028033011419
5486,12,19,14,shrinkage,0.0855039533781586
3948,8,9,12,shrinkage,0.0855040721291633
2268,4,9,12,shrinkage,0.0855042965099848
3643,7,12,19,shrinkage,0.0855054726383137
2574,4,22,6,shrinkage,0.0855067982932638
6120,15,16,0,shrinkage,0.0855127133783186
6518,16,24,14,shrinkage,0.0855143910253795
2338,4,12,10,shrinkage,0.0855160434743035
6326,15,24,14,shrinkage,0.0855162419388299
2573,4,22,5,shrinkage,0.085518102955464
1996,3,18,4,shrinkage,0.0855202967796161
2624,4,24,8,shrinkage,0.0855238956939717
3296,6,15,8,shrinkage,0.0855259702496969
1599,2,22,15,shrinkage,0.0855287416822286
2350,4,12,22,shrinkage,0.0855287615929349
5985,14,19,9,shrinkage,0.085531065129065
3309,6,15,21,shrinkage,0.0855310651603448
1964,3,16,20,shrinkage,0.0855318826025914
2349,4,12,21,shrinkage,0.0855341506726371
4118,8,16,14,shrinkage,0.0855342250016334
2861,5,15,5,shrinkage,0.0855390378263933
1589,2,22,5,shrinkage,0.0855407138961238
2826,5,13,18,shrinkage,0.0855436262223328
2626,4,24,10,shrinkage,0.0855481757191024
4113,8,16,9,shrinkage,0.0855482667016604
2582,4,22,14,shrinkage,0.0855483320209847
1993,3,18,1,shrinkage,0.0855495050944807
2579,4,22,11,shrinkage,0.0855498682665222
6681,18,19,9,shrinkage,0.0855538970196507
