Configurations,ROI,STD,SR,ERR
LB:50 HP:10,0.02067255451623118,0.02590953734312933,0.7978743210446831,0
LB:50 HP:11,0.01774810027817275,0.025879635099659924,0.6857940697319173,0
LB:50 HP:12,-0.006931928663036269,0.026563717153638092,-0.2609547686019873,0
LB:50 HP:13,0.0007582604386124903,0.025775233027469754,0.029418179762114277,0
LB:50 HP:14,0.03772725105379071,0.026195104576045177,1.4402405206769595,0
LB:50 HP:15,-0.00601278631389901,0.02626525532982624,-0.22892548495696607,0
LB:50 HP:16,-0.0050944694819337055,0.026216476909585184,-0.19432319222385988,0
LB:50 HP:17,0.023899910252341394,0.02541375472237501,0.9404320815018812,0
LB:50 HP:18,0.017518554463298752,0.025826808754050877,0.678308908782662,0
LB:50 HP:19,-0.015696759671410154,0.026177408741089675,-0.5996300025972988,0
LB:50 HP:20,-0.007971686092269503,0.027089132026585475,-0.2942761726158679,0
LB:60 HP:1,0.036873945138057085,0.02683969776691049,1.37385843381282,0
LB:60 HP:2,0.042677378443147784,0.02619771218587163,1.629049824669942,0
LB:60 HP:3,-0.004366054899603289,0.02623209472301125,-0.16643943023632457,0
LB:60 HP:4,0.03134357885742767,0.026469797095557062,1.1841261474077815,0
LB:60 HP:5,-0.018242991152083166,0.025734242995493782,-0.7088994673469751,0
LB:60 HP:6,0.017677805503501176,0.026843303102137842,0.6585555226284089,0
LB:60 HP:7,0.040810222808392416,0.02655893609960155,1.53659102365191,0
LB:60 HP:8,0.020416213410278106,0.026108630829975443,0.781971813965754,0
LB:60 HP:9,0.052692921608172405,0.025991416425903118,2.027320125411037,0
LB:60 HP:10,0.018419235093053432,0.02633690632004558,0.6993697311758352,0
LB:60 HP:11,0.011151541817599586,0.026364837810235124,0.4229702415719179,0
LB:60 HP:12,-0.003641362764065459,0.026241597203409534,-0.1387630004317093,0
LB:60 HP:13,0.0043499187155064956,0.02595462573661857,0.16759705031574895,0
LB:60 HP:14,0.029422377494952245,0.025702344157723465,1.1447351772430034,0
LB:60 HP:15,0.013681022646781393,0.026591144743613047,0.5144954374357069,0
LB:60 HP:16,0.0036941224846016585,0.026099067338434978,0.1415423178421967,0
LB:60 HP:17,0.01192936695127389,0.025303589736453115,0.4714495878064322,0
LB:60 HP:18,0.032496202574212374,0.025582073736234313,1.2702724145535131,0
LB:60 HP:19,-0.007773323523765252,0.02620927470387606,-0.2965867469280126,0
LB:60 HP:20,-0.001729126491362476,0.026991924250851,-0.0640608826289204,0
LB:70 HP:1,0.017127686546120957,0.024274879287805407,0.7055724703325353,0
LB:70 HP:2,-0.0006861911235053197,0.025403380032164045,-0.027011804044836194,0
LB:70 HP:3,0.007451520491358776,0.025777123081800923,0.28907494710376247,0
LB:70 HP:4,0.008419907437668961,0.025837045200227227,0.3258850759604241,0
LB:70 HP:5,-0.005725077375256626,0.02656416620868584,-0.21551880568284748,0
LB:70 HP:6,0.0317680105178102,0.025971588439241626,1.2231831946717013,0
LB:70 HP:7,0.03692736764811322,0.02619857177879804,1.4095183493169567,0
LB:70 HP:8,0.026020685764290175,0.025801154239436387,1.0085085931744184,0
LB:70 HP:9,0.04980362516763037,0.026296968790679744,1.8938922414997859,0
LB:70 HP:10,0.021109819895833493,0.026353874719241076,0.8010138972248025,0
LB:70 HP:11,0.03357121520821593,0.02636067673063945,1.2735338910778247,0
LB:70 HP:12,-0.0016357083915911064,0.026554884236697492,-0.06159727065692273,0
LB:70 HP:13,0.008588103752189769,0.02583551721627185,0.3324146244217928,0
LB:70 HP:14,0.050135876784957345,0.025492567830299736,1.9666860207533616,0
LB:70 HP:15,0.0010468040541409263,0.02653192364819069,0.03945451027303524,0
LB:70 HP:16,0.021706370274715336,0.02629259541560149,0.8255697062845009,0
LB:70 HP:17,0.024111098255441332,0.025160808133413114,0.9582799617402676,0
LB:70 HP:18,0.008162845190374579,0.025733140164224195,0.3172113911586691,0
LB:70 HP:19,-0.00735049419067646,0.026599010176496067,-0.2763446512446409,0
LB:70 HP:20,0.007186229648430187,0.027296987463868487,0.2632609059128668,0
LB:80 HP:1,0.009960245075422813,0.028331789013475987,0.35155722325495337,0
LB:80 HP:2,0.011382739073622972,0.02662017185161744,0.4275982565804269,0
LB:80 HP:3,0.015024190435425577,0.026216617110369985,0.5730789129724428,0
LB:80 HP:4,0.00789831984446887,0.025881631833673806,0.30517085998389815,0
LB:80 HP:5,0.02246495547055183,0.026243458110405116,0.8560211606276396,0
LB:80 HP:6,0.03115571273879203,0.025820299383463353,1.2066363862049465,0
LB:80 HP:7,0.012746482684862448,0.02561666841786351,0.49758549694830045,0
LB:80 HP:8,0.0016425345343951125,0.026409825646540326,0.06219406960039071,0
LB:80 HP:9,0.014158164681976393,0.026389050090615426,0.536516647373047,0
LB:80 HP:10,-0.0056776604032287015,0.026320335926494107,-0.21571382747868184,0
LB:80 HP:11,0.026993092943869756,0.026245696655745512,1.0284769079642864,0
LB:80 HP:12,-0.0025329676297490833,0.026312532639644302,-0.09626468361820621,0
LB:80 HP:13,0.012202073681098158,0.025927996552257773,0.47061382689190534,0
LB:80 HP:14,0.026307315770886852,0.025826316089552038,1.0186244015471257,0
LB:80 HP:15,-0.016066822629631994,0.02625753221731941,-0.6118938557003599,0
LB:80 HP:16,0.0006504295096299018,0.02652451399197287,0.02452182572795647,0
